,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Ponta do Sol,CV,69.58,clear sky,17.2,-25.09,Residencial Ponta do Sol
370,Quisqueya,DO,69.69,clear sky,18.56,-69.41,No hotel found
371,Pedro Juan Caballero,PY,69.76,scattered clouds,-22.55,-55.73,Acapulco
372,Esperance,AU,69.8,clear sky,-33.87,121.9,Hospitality
373,Adrar,DZ,69.84,clear sky,25.75,-1.0,No hotel found
374,Jitaúna,BR,69.84,scattered clouds,-14.02,-39.89,No hotel found
375,New Norfolk,AU,69.93,broken clouds,-42.78,147.06,Woodbridge on the Derwent
376,Punta Alta,AR,70.11,few clouds,-38.88,-62.07,Gran Hotel
377,Fortuna,BR,70.25,overcast clouds,-5.73,-44.16,No hotel found
378,Hobart,AU,70.27,clear sky,-42.88,147.33,Vibe Hotel Hobart
379,Cuamba,MZ,70.27,overcast clouds,-14.8,36.54,Sao Miguel
380,Hasaki,JP,70.29,clear sky,35.73,140.83,ビジネスホテル　いづや
381,Comodoro Rivadavia,AR,70.29,overcast clouds,-45.87,-67.5,No hotel found
383,Jardim,BR,70.45,scattered clouds,-21.48,-56.14,Hotel Uchôa
384,Burnie,AU,70.45,broken clouds,-41.07,145.92,Burnie Central TownHouse Hotel
385,Lagunas,PE,70.59,overcast clouds,-5.23,-75.68,Hospedaje Lagunas
386,Pontes e Lacerda,BR,70.65,overcast clouds,-15.23,-59.34,Hotel Avenida
387,Dakar,SN,70.68,clear sky,14.69,-17.44,翁记小吃
388,Sungai Penuh,ID,70.81,light rain,-2.08,101.38,Hotel Matahari
389,Kindu,CD,70.99,light rain,-2.95,25.95,No hotel found
390,Chui,UY,71.06,scattered clouds,-33.7,-53.46,Alerces
391,Laguna,BR,71.1,overcast clouds,-28.48,-48.78,Marina Sul Hotel
392,Matamoros,MX,71.11,scattered clouds,25.53,-103.25,No hotel found
393,Mantua,CU,71.19,scattered clouds,22.29,-84.28,"Hotel ""Mangos de Roque"""
394,Rocha,UY,71.44,overcast clouds,-34.48,-54.33,Hotel Municipal
395,Puerto Nariño,CO,71.49,heavy intensity rain,-3.77,-70.38,Eco Hotel Euare
396,Feijó,BR,71.6,overcast clouds,-8.16,-70.35,Hotel JOAFRAN
397,Biankouma,CI,71.6,overcast clouds,7.74,-7.61,No hotel found
398,Tamiami,US,71.62,clear sky,25.76,-80.4,Comfort Suites Miami Kendall
399,Albany,AU,71.62,few clouds,-35.02,117.89,Sixdegrees
400,Owando,CG,71.64,light rain,-0.48,15.9,Hotel de l'Eglise
401,Kisangani,CD,71.67,overcast clouds,0.52,25.2,Les Mambo's
402,Lodja,CD,71.67,overcast clouds,-3.48,23.43,No hotel found
403,Yamazakichō-nakabirose,JP,71.83,clear sky,35.0,134.55,No hotel found
404,Bull Savanna,JM,71.91,light rain,17.89,-77.59,Junction Guest House
405,Conceição do Araguaia,BR,71.92,overcast clouds,-8.26,-49.26,No hotel found
406,East London,ZA,72.0,clear sky,-33.02,27.91,Majestic Boutique Hotel
407,Merritt Island,US,72.03,few clouds,28.54,-80.67,No hotel found
408,Mar del Plata,AR,72.09,broken clouds,-38.0,-57.56,Nuevo Ostende
409,Mozarlândia,BR,72.12,overcast clouds,-14.74,-50.57,No hotel found
